,portfolio_n,asset,price_bop,price_eop,proportion,returns
191,6,RADBTC,0.00021760,0.00021400,0.00408984852641193,
192,6,AVABTC,0.00004958,0.00004930,0.020761649787055542,
193,7,ALPACABTC,0.00001594,0.00001579,0.027623485689421176,
194,7,MDXBTC,0.00002216,0.00002208,0.11894499328879489,
195,7,CAKEBTC,0.00032840,0.00032670,0.008451769756293324,
196,7,REEFBTC,0.00000040,0.00000039,0.024475103578183423,
197,7,GOBTC,0.00000056,0.00000055,0.050846051368365695,
198,7,NASBTC,0.00000680,0.00000660,0.04435748117963827,
199,7,QLCBTC,0.00000056,0.00000055,0.039494091146218345,
200,7,XVGBTC,0.00000042,0.00000041,0.005203048088447488,
201,7,FUNBTC,0.00000036,0.00000034,0.06668500351688395,
202,7,QTUMBTC,0.00021400,0.00021190,0.009651231770514364,
203,7,C98BTC,0.00005957,0.00005891,0.012579875211506376,
204,7,LINABTC,0.00000085,0.00000083,0.16166911339894063,
205,7,STMXBTC,0.00000053,0.00000051,0.06438968487159365,
206,7,TCTBTC,0.00000053,0.00000052,0.04429490599779777,
207,7,PHBBTC,0.00000017,0.00000016,0.08023921543825893,
208,7,QKCBTC,0.00000053,0.00000051,0.061020951107109686,
209,7,CNDBTC,0.00000027,0.00000026,0.01227460178216506,
210,7,VIBBTC,0.00000093,0.00000092,0.06474583142236677,
211,7,MTHBTC,0.00000067,0.00000066,0.0007815105972318078,
212,7,BAKEBTC,0.00003486,0.00003460,0.006903214451160382,
213,7,CKBBTC,0.00000027,0.00000026,0.03709400438039242,
214,7,CELOBTC,0.00009780,0.00009660,0.025350380655551195,
215,7,VIDTBTC,0.00001735,0.00001730,0.07091833991205303,
216,7,AVAXBTC,0.00092940,0.00091580,0.013064515696405724,
217,7,LUNABTC,0.00062170,0.00061570,0.06434813091561983,
218,7,SANDBTC,0.00001239,0.00001228,0.00524422228322903,
219,7,SRMBTC,0.00012520,0.00012370,0.0018708250298262426,
220,7,DGBBTC,0.00000083,0.00000082,0.0019393186037554885,
221,7,COSBTC,0.00000038,0.00000037,0.04762191187254068,
222,7,PIVXBTC,0.00001289,0.00001285,0.039962299215117486,
223,7,MANABTC,0.00001267,0.00001254,0.05596696370322257,
224,7,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
225,7,TRXBTC,0.00000171,0.00000164,0.06546436770923576,
226,7,IOTABTC,0.00002176,0.00002158,0.002182430244394029,
227,7,AKROBTC,0.00000051,0.00000050,0.014946832428541251,
228,7,IDEXBTC,0.00000512,0.00000508,0.10439326043263643,
229,7,FTTBTC,0.00094600,0.00094010,0.0053536197021954125,
230,7,XTZBTC,0.00011629,0.00011451,0.029678550865728005,
231,7,ATOMBTC,0.00055570,0.00054930,0.009064454509675399,
232,7,FETBTC,0.00001219,0.00001206,0.03512081899370153,
233,7,SCBTC,0.00000031,0.00000029,0.05397909302874509,
234,7,BTSBTC,0.00000082,0.00000081,0.02648876718628267,
235,7,WAVESBTC,0.00051180,0.00050860,0.06955241900774263,
236,7,RADBTC,0.00021320,0.00021260,0.0041096631148293886,
237,7,AVABTC,0.00004920,0.00004908,0.04694133055893817,
238,7,TKOBTC,0.00003274,0.00003230,0.046782337656811605,
239,7,DOTBTC,0.00066950,0.00066560,0.07371612532184368,
240,7,QSPBTC,0.00000100,0.00000099,0.06803541186389277,
241,8,ALPACABTC,0.00001589,0.00001583,0.027623485689421176,
242,8,MDXBTC,0.00002207,0.00002181,0.0014072218575587993,
243,8,CAKEBTC,0.00032690,0.00032530,0.022357479116095064,
244,8,REEFBTC,0.00000040,0.00000038,0.09788127488496008,
245,8,GOBTC,0.00000056,0.00000054,0.004520258463099213,
246,8,NASBTC,0.00000670,0.00000660,0.005981557968113718,
247,8,QLCBTC,0.00000056,0.00000054,0.039494091146218345,
248,8,XVGBTC,0.00000042,0.00000041,0.09734974081880934,
249,8,FUNBTC,0.00000035,0.00000034,0.016836349364948083,
250,8,QTUMBTC,0.00021150,0.00021030,0.009651231770514364,
251,8,C98BTC,0.00005877,0.00005871,0.012579875211506376,
252,8,LINABTC,0.00000084,0.00000083,0.16166911339894063,
253,8,STMXBTC,0.00000052,0.00000051,0.01611797768491706,
254,8,TCTBTC,0.00000053,0.00000052,0.0910402870599889,
255,8,PHBBTC,0.00000017,0.00000016,0.1054956582288379,
256,8,QKCBTC,0.00000053,0.00000051,0.09971657417388423,
257,8,CNDBTC,0.00000027,0.00000027,0.010161424574993881,
258,8,VIBBTC,0.00000093,0.00000091,0.06474583142236677,
259,8,MTHBTC,0.00000067,0.00000065,0.0018988076756657419,
260,8,BAKEBTC,0.00003462,0.00003447,0.006903214451160382,
261,8,CKBBTC,0.00000027,0.00000026,0.03709400438039242,
262,8,CELOBTC,0.00009672,0.00009657,0.10532144395433082,
263,8,VIDTBTC,0.00001714,0.00001692,0.07091833991205303,
264,8,AVAXBTC,0.00091840,0.00091320,0.013064515696405724,
265,8,LUNABTC,0.00061370,0.00060930,0.06535782609947424,
266,8,SANDBTC,0.00001228,0.00001213,0.00524422228322903,
267,8,SRMBTC,0.00012400,0.00012350,0.0018708250298262426,
268,8,DGBBTC,0.00000082,0.00000081,0.0022133212551296026,
269,8,COSBTC,0.00000040,0.00000040,0.07423183497780152,
270,8,PIVXBTC,0.00001286,0.00001252,0.039962299215117486,
271,8,MANABTC,0.00001255,0.00001246,0.05596696370322257,
272,8,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
273,8,TRXBTC,0.00000165,0.00000164,0.06546436770923576,
274,8,IOTABTC,0.00002165,0.00002159,0.002182430244394029,
275,8,AKROBTC,0.00000052,0.00000050,0.014946832428541251,
276,8,IDEXBTC,0.00000510,0.00000506,0.10439326043263643,
277,8,FTTBTC,0.00094190,0.00094360,0.0053536197021954125,
278,8,XTZBTC,0.00011508,0.00011445,0.029678550865728005,
279,8,ATOMBTC,0.00054950,0.00054760,0.009064454509675399,
280,8,FETBTC,0.00001202,0.00001190,0.03512081899370153,
281,8,SCBTC,0.00000030,0.00000029,0.05397909302874509,
282,8,BTSBTC,0.00000082,0.00000081,0.02648876718628267,
283,8,WAVESBTC,0.00050710,0.00050240,0.06955241900774263,
284,8,RADBTC,0.00021210,0.00021260,0.02393680769612745,
285,8,AVABTC,0.00004893,0.00004843,0.025314791913110007,
286,8,TKOBTC,0.00003221,0.00003197,0.046782337656811605,
287,8,DOTBTC,0.00066640,0.00066790,0.07371612532184368,
288,8,QSPBTC,0.00000100,0.00000098,0.025056556343755306,
289,8,RAREBTC,0.00003205,0.00003154,0.03451876855363721,
290,8,MITHBTC,0.00000085,0.00000083,0.07328403733476187,
291,9,ALPACABTC,0.00001591,0.00001611,0.027623485689421176,
292,9,MDXBTC,0.00002195,0.00002219,2.020437045200203e-05,
293,9,CAKEBTC,0.00032610,0.00032930,0.07310019718361054,
294,9,REEFBTC,0.00000039,0.00000042,0.11051844923089084,
295,9,GOBTC,0.00000055,0.00000054,0.004520258463099213,
296,9,NASBTC,0.00000680,0.00000670,0.014891110611982566,
297,9,QLCBTC,0.00000056,0.00000056,0.05588386566590703,
298,9,XVGBTC,0.00000042,0.00000041,0.0490691122174992,
299,9,FUNBTC,0.00000035,0.00000034,0.002305021826846286,
300,9,QTUMBTC,0.00021030,0.00021280,0.009651231770514364,
301,9,C98BTC,0.00005882,0.00005917,0.012579875211506376,
302,9,LINABTC,0.00000084,0.00000085,0.16166911339894063,
303,9,STMXBTC,0.00000052,0.00000051,0.01611797768491706,
304,9,TCTBTC,0.00000053,0.00000052,0.0910402870599889,
305,9,PHBBTC,0.00000017,0.00000016,0.11750724065344659,
306,9,QKCBTC,0.00000052,0.00000052,0.12096008659924852,
307,9,CNDBTC,0.00000028,0.00000027,0.010161424574993881,
308,9,VIBBTC,0.00000092,0.00000092,0.07366313924195124,
309,9,MTHBTC,0.00000067,0.00000066,0.004446114842435444,
310,9,BAKEBTC,0.00003452,0.00003565,0.006903214451160382,
311,9,CKBBTC,0.00000027,0.00000026,0.01530140563333751,
312,9,CELOBTC,0.00009658,0.00009750,0.016739942494805544,
313,9,VIDTBTC,0.00001722,0.00001704,0.07091833991205303,
314,9,AVAXBTC,0.00091670,0.00092540,0.013064515696405724,
315,9,LUNABTC,0.00061130,0.00062120,0.06535782609947424,
316,9,SANDBTC,0.00001214,0.00001227,0.00524422228322903,
317,9,SRMBTC,0.00012400,0.00012460,0.0018708250298262426,
318,9,DGBBTC,0.00000083,0.00000085,0.0022133212551296026,
319,9,COSBTC,0.00000040,0.00000038,0.08665461565236265,
320,9,PIVXBTC,0.00001259,0.00001276,0.02512385053186603,
321,9,MANABTC,0.00001247,0.00001256,0.05596696370322257,
322,9,AMBBTC,0.00000059,0.00000058,0.037688361647522324,
323,9,TRXBTC,0.00000165,0.00000165,0.06546436770923576,
324,9,IOTABTC,0.00002154,0.00002184,0.002182430244394029,
325,9,AKROBTC,0.00000051,0.00000051,0.010295494832949215,
326,9,IDEXBTC,0.00000508,0.00000509,0.10439326043263643,
327,9,FTTBTC,0.00094160,0.00094270,0.0053536197021954125,
328,9,XTZBTC,0.00011452,0.00011575,0.029678550865728005,
329,9,ATOMBTC,0.00055010,0.00055530,0.009064454509675399,
330,9,FETBTC,0.00001191,0.00001196,0.03512081899370153,
331,9,SCBTC,0.00000030,0.00000030,0.05397909302874509,
332,9,BTSBTC,0.00000082,0.00000084,0.017241624487300485,
333,9,WAVESBTC,0.00050340,0.00050870,0.06955241900774263,
334,9,RADBTC,0.00021220,0.00021290,0.016178158824450704,
335,9,AVABTC,0.00004850,0.00004856,0.0814637512775297,
336,9,TKOBTC,0.00003221,0.00003453,0.046782337656811605,
337,9,DOTBTC,0.00066720,0.00067440,0.0950786923025126,
338,9,QSPBTC,0.00000100,0.00000099,0.025056556343755306,
339,9,RAREBTC,0.00003194,0.00003179,0.005218608335340933,
340,9,MITHBTC,0.00000084,0.00000084,0.07328403733476187,
341,9,RSRBTC,0.00000056,0.00000056,0.008339313183274211,
342,10,ALPACABTC,0.00001635,0.00001592,0.05406379553878589,
343,10,MDXBTC,0.00002212,0.00002186,0.10231262306081712,
344,10,CAKEBTC,0.00032630,0.00032430,0.001051278981469445,
345,10,REEFBTC,0.00000042,0.00000044,0.0583025556884228,
346,10,GOBTC,0.00000055,0.00000053,0.029242837417653256,
347,10,NASBTC,0.00000680,0.00000690,0.014891110611982566,
348,10,QLCBTC,0.00000057,0.00000056,0.0837817676405616,
349,10,XVGBTC,0.00000042,0.00000041,0.05080881035623428,
350,10,FUNBTC,0.00000035,0.00000034,0.11849274305897453,
351,10,QTUMBTC,0.00021110,0.00020980,0.009651231770514364,
352,10,C98BTC,0.00005876,0.00005804,0.012579875211506376,
